Item Code,Item Group,Default Unit of Measure,Item Name,HSN/SAC,Alloy,Finish Type,Color Type,Valuation Rate,Disabled,Profile,Standard or NonStandard
125X50 JL,Aluminium,Kg,125X50 JL,76041031,6061/T6,Mill,NATURAL,290,0,1098,Non-Standard
100 IC (95 D),Aluminium,Kg,100 IC (95 D),76041031,6061/T6,Mill,NATURAL,290,0,,Irregular
110 IC X 110 IC,Aluminium,Kg,110 IC X 110 IC,76041031,6061/T6,Mill,NATURAL,290,0,,Non-Standard
130 IC X 130 IC,Aluminium,Kg,130 IC X 130 IC,76041031,6061/T6,Mill,NATURAL,290,0,,Non-Standard
GROOVE 6609,Aluminium,Kg,GROOVE 6609,76041031,6061/T6,Mill,NATURAL,0,0,1147,Non-Standard
GROOVE 6610,Aluminium,Kg,GROOVE 6610,76041031,6061/T6,Mill,NATURAL,0,0,1148,Non-Standard
GROOVE 6611,Aluminium,Kg,GROOVE 6611,76041031,6061/T6,Mill,NATURAL,0,0,,Non-Standard
GROOVE 6612,Aluminium,Kg,GROOVE 6612,76041031,6061/T6,Mill,NATURAL,0,0,,Non-Standard
GROOVE 6613,Aluminium,Kg,GROOVE 6613,76041031,6061/T6,Mill,NATURAL,0,0,1149,Non-Standard
GROOVE 6615,Aluminium,Kg,GROOVE 6615,76041031,6061/T6,Mill,NATURAL,0,0,1150,Non-Standard
GROOVE 6616,Aluminium,Kg,GROOVE 6616,76041031,6061/T6,Mill,NATURAL,0,0,1151,Non-Standard
GROOVE 6617,Aluminium,Kg,GROOVE 6617,76041031,6061/T6,Mill,NATURAL,0,0,,Non-Standard
GROOVE 6633,Aluminium,Kg,GROOVE 6633,76041031,6061/T6,Mill,NATURAL,0,0,1152,Non-Standard
GROOVE 6634,Aluminium,Kg,GROOVE 6634,76041031,6061/T6,Mill,NATURAL,0,0,,Non-Standard
GROOVE 6635,Aluminium,Kg,GROOVE 6635,76041031,6061/T6,Mill,NATURAL,0,0,,Non-Standard
GROOVE 6636,Aluminium,Kg,GROOVE 6636,76041031,6061/T6,Mill,NATURAL,0,0,1153,Non-Standard
GROOVE 6637,Aluminium,Kg,GROOVE 6637,76041031,6061/T6,Mill,NATURAL,0,0,1154,Non-Standard
GROOVE 6640,Aluminium,Kg,GROOVE 6640,76041031,6061/T6,Mill,NATURAL,0,0,1156,Non-Standard
GROOVE 6656,Aluminium,Kg,GROOVE 6656,76041031,6061/T6,Mill,NATURAL,0,0,1157,Non-Standard
GROOVE 6657,Aluminium,Kg,GROOVE 6657,76041031,6061/T6,Mill,NATURAL,0,0,1158,Non-Standard
GROOVE 6658,Aluminium,Kg,GROOVE 6658,76041031,6061/T6,Mill,NATURAL,0,0,1159,Non-Standard
GROOVE 95804,Aluminium,Kg,GROOVE 95804,76041031,6061/T6,Mill,NATURAL,0,0,,Non-Standard
I STIFFNER,Aluminium,Kg,I STIFFNER,76041031,6061/T6,Mill,NATURAL,290,0,1109,Standard
SECTION 250,Aluminium,Kg,SECTION 250,76041031,6061/T6,Mill,NATURAL,290,0,,Irregular
CORNER,Aluminium,Kg,CORNER,76041031,6061/T6,Mill,NATURAL,290,0,,Non-Standard
230 T,Aluminium,Kg,230 T,76041031,6061/T6,Mill,NATURAL,290,0,1162,Non-Standard
EC 60 DEGREE,Aluminium,Kg,EC 60 DEGREE,76041031,6061/T6,Mill,NATURAL,290,0,,Non-Standard
58 MM FLAT RAIL,Aluminium,Kg,58 MM FLAT RAIL,76041031,6061/T6,Mill,NATURAL,290,0,1107,Irregular
FLUTTING RKS,Aluminium,Kg,FLUTTING RKS,76041031,6061/T6,Mill,NATURAL,290,0,,Non-Standard
FIN RKS,Aluminium,Kg,FIN RKS,76041031,6061/T6,Mill,NATURAL,290,0,,Non-Standard
145MM END CAP,Aluminium,Kg,145MM END CAP,76041031,6061/T6,Mill,NATURAL,290,0,1126,Non-Standard
ROUND PIPE 16 MM,Aluminium,Kg,ROUND PIPE 16 MM,76041031,6061/T6,Mill,NATURAL,290,0,,Non-Standard
290 T,Aluminium,Kg,290 T,76041031,6061/T6,Mill,NATURAL,290,0,1166,Non-Standard
280 T,Aluminium,Kg,280 T,76041031,6061/T6,Mill,NATURAL,290,0,1165,Non-Standard
210 T,Aluminium,Kg,210 T,76041031,6061/T6,Mill,NA,290,0,1161,Non-Standard
ROUND PIPE 38 MM,Aluminium,Kg,ROUND PIPE 38 MM,76041031,6061/T6,NA,NA,290,0,1123,Standard
SECTION 210,Aluminium,Kg,SECTION 210,76041031,6061/T6,Finished,NA,290,0,,Non-Standard
STR 150 X 315,Aluminium,Kg,STR 150 X 315,76041031,6061/T6,Finished,NA,290,0,1129,Non-Standard
STR 150 X 365,Aluminium,Kg,STR 150 X 365,76041031,6061/T6,Finished,NA,290,0,1130,Non-Standard
STR 160 X 315,Aluminium,Kg,STR 160 X 315,76041031,6061/T6,Finished,NA,290,0,1131,Non-Standard
STR 175 X 315,Aluminium,Kg,STR 175 X 315,76041031,6061/T6,Finished,NA,290,0,1132,Non-Standard
65 MM CORNER PATTI,Aluminium,Kg,65 MM CORNER PATTI,76041031,6061/T6,Finished,NATURAL,0,0,1134,Non-Standard
BUYBACK OF SCRAP MATERIAL -IF MATERIAL IS NOT CLEAN,Aluminium,Kg,BUYBACK OF SCRAP MATERIAL -IF MATERIAL IS NOT CLEAN,76041031,6061/T6,NA,NA,0,0,,Non-Standard
BUYBACK OF SCRAP MATERIAL -IF MATERIAL IS CLEAN,Aluminium,Kg,BUYBACK OF SCRAP MATERIAL -IF MATERIAL IS CLEAN,76041031,6061/T6,NA,NA,0,0,,Non-Standard
360 T,Aluminium,Kg,360 T,76041031,6061/T6,Mill,NATURAL,290,0,1168,Non-Standard
GROOVE 75 X 50 X 40,Aluminium,Kg,GROOVE 75 X 50 X 40,76041031,6061/T6,Mill,NATURAL,0,0,,Non-Standard
ALU SHEET 4.0 X 1200 X 2400 MM,Aluminium,Kg,ALU SHEET 4.0 X 1200 X 2400 MM,76041031,6061/T6,Mill,NATURAL,0,0,,Non-Standard
GROOVE 5436,Aluminium,Kg,GROOVE 5436,76041031,6061/T6,Mill,NATURAL,290,0,,Non-Standard
200 L,Aluminium,Kg,200 L,76041031,6061/T6,Mill,NATURAL,290,0,1137,Standard
GROOVE 30X15X3,Aluminium,Kg,GROOVE 30X15X3,76041031,6061/T6,Mill,NATURAL,290,0,,Non-Standard
205 T,Aluminium,Kg,205 T,76041031,6061/T6,Mill,NATURAL,290,0,1160,Irregular
250 L,Aluminium,Kg,250 L,76041031,6061/T6,Mill,NATURAL,290,0,1139,Standard
SAMPLE,Aluminium,Kg,SAMPLE,76041031,6061/T6,Mill,NATURAL,0,0,,Non-Standard
Y STIFFNER,Aluminium,Kg,Y STIFFNER,76041031,6061/T6,Mill,NATURAL,0,0,,Non-Standard
140 MM RAIL,Aluminium,Kg,140 MM RAIL,76041031,6061/T6,Mill,NATURAL,290,0,,Non-Standard
SKIRTING GROOVE (150 X 140 X 20),Aluminium,Kg,SKIRTING GROOVE (150 X 140 X 20),76041031,6061/T6,Mill,NATURAL,290,0,,Irregular
225 L,Aluminium,Kg,225 L,76041031,6061/T6,Mill,NATURAL,290,0,NP 227,Standard
500 C FSW,Aluminium,Kg,500 C FSW,76041031,6061/T6,Mill,NATURAL,290,0,,Non-Standard
600 C FSW,Aluminium,Kg,600 C FSW,76041031,6061/T6,Mill,NATURAL,290,0,,Non-Standard
400 C FSW,Aluminium,Kg,400 C FSW,76041031,6061/T6,Mill,NATURAL,290,0,,Non-Standard
450 C FSW,Aluminium,Kg,450 C FSW,76041031,6061/T6,Mill,NATURAL,290,0,,Non-Standard
300 C FSW,Aluminium,Kg,300 C FSW,76041031,6061/T6,Mill,NATURAL,290,0,,Non-Standard
350 C FSW,Aluminium,Kg,350 C FSW,76041031,6061/T6,Mill,NATURAL,290,0,,Non-Standard
EB/MB 150,Aluminium,Kg,EB/MB 150,76041031,6061/T6,Mill,NATURAL,290,0,,Non-Standard
DP 150,Aluminium,Kg,DP 150,76041031,6061/T6,Mill,NATURAL,290,0,,Non-Standard
ALUMINIUM SHEET - 6061 GRADE,Aluminium,Kg,ALUMINIUM SHEET - 6061 GRADE,76041031,6061/T6,Mill,NATURAL,0,0,,Non-Standard
commercial grade-4mm x 1219 x 2438  ALUMINIUM SHEET,Aluminium,Kg,commercial grade-4mm x 1219 x 2438  ALUMINIUM SHEET,76041031,NA,Mill,NATURAL,290,0,,Non-Standard
STIFFENER 100 MM,Aluminium,Kg,STIFFENER 100 MM,76041031,6061/T6,Mill,NATURAL,290,0,,Non-Standard
TERRACE FLUTING,Aluminium,Kg,TERRACE FLUTING,76041031,6061/T6,Mill,NATURAL,290,0,,Non-Standard
GROOVE 150X155X10,Aluminium,Kg,GROOVE 150X155X10,76041031,6061/T6,Mill,NATURAL,290,0,,Non-Standard
GROOVE 6605,Aluminium,Kg,GROOVE 6605,76041031,6061/T6,Mill,NATURAL,0,0,,Non-Standard
WINDOW NOTCH GROOVE (100X20),Aluminium,Kg,WINDOW NOTCH GROOVE (100X20),76041031,6061/T6,Mill,NATURAL,0,0,,Non-Standard
J 75,Aluminium,Kg,J 75,76041031,6061/T6,Mill,NATURAL,290,0,,Non-Standard
J 80,Aluminium,Kg,J 80,76041031,6061/T6,Mill,NATURAL,290,0,,Non-Standard
GROOVE 6677,Aluminium,Kg,GROOVE 6677,76041031,6061/T6,Mill,NATURAL,0,0,,Non-Standard
DLF C-150,Aluminium,Kg,DLF C-150,76041031,6061/T6,Mill,NATURAL,0,0,,Non-Standard
DLF CORNICE,Aluminium,Kg,DLF CORNICE,76041031,6061/T6,Mill,NATURAL,0,0,,Non-Standard
SKIRTING GROOVE (RAMKY) 125X120X6,Aluminium,Kg,SKIRTING GROOVE (RAMKY) 125X120X6,76041031,6061/T6,Mill,NATURAL,290,0,,Non-Standard
WRONG PROFILE,Aluminium,Kg,WRONG PROFILE,76041031,6061/T6,Mill,NATURAL,0,0,,Non-Standard
