Item Code,Item Group,Default Unit of Measure,Item Name,HSN/SAC,Alloy,Finish Type,Color Type,Valuation Rate,Disabled,Profile,Standard or NonStandard
BUSH 3 INCH,General,Nos,BUSH 3 INCH,76041031,NA,NA,NA,100,0,0,Non-Standard
DOOR HANDLE  - 6 INCH,General,Nos,DOOR HANDLE  - 6 INCH,76041031,NA,NA,NA,100,0,0,Non-Standard
30 HP COMMPRESSOR WITH DRYER,General,Nos,30 HP COMMPRESSOR WITH DRYER,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
5 HP COMPRESSOR WITH  DRYER,General,Nos,5 HP COMPRESSOR WITH  DRYER,76041031,NA,NA,NA,100,0,0,Non-Standard
DOOR CLOSER AS PER IMAGE,General,Nos,DOOR CLOSER AS PER IMAGE,76041031,NA,NA,NA,100,0,0,Non-Standard
ROLLER BLINDS WITH FITTINGS,General,Square Foot,ROLLER BLINDS WITH FITTINGS,76041031,NA,NA,NA,100,0,0,Non-Standard
ELECTRIC FORKLIFT 3T GODREJ UNO MODEL,General,Nos,ELECTRIC FORKLIFT 3T GODREJ UNO MODEL,76041031,NA,NA,NA,100,0,0,Non-Standard
CSK SCREW 3 INCH 5MM THICK-NUT BOLT WASHER,General,Nos,CSK SCREW 3 INCH 5MM THICK-NUT BOLT WASHER,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
3HP AIR COMPRESSOR.,General,Nos,3HP AIR COMPRESSOR.,76041031,NA,NA,NA,100,0,0,Non-Standard
HARDNESS TESTING MACHINE -ROCKWELL BRINELL,General,Nos,HARDNESS TESTING MACHINE -ROCKWELL BRINELL,76041031,NA,Finished,NA,100,0,0,Non-Standard
LAQURING ROLLER RECOATING,General,Nos,LAQURING ROLLER RECOATING,76041031,NA,NA,NA,100,0,0,Non-Standard
LAQURING ROLLER,General,Nos,LAQURING ROLLER,76041031,NA,NA,NA,100,0,0,Non-Standard
M S PLATE 600*600*20,General,Nos,M S PLATE 600*600*20,76041031,NA,Finished,NATURAL,100,0,0,Non-Standard
MS PLATE 562.5 *170 *15,General,Nos,MS PLATE 562.5 *170 *15,76041031,NA,Finished,NATURAL,100,0,0,Non-Standard
M S PLATE 340 * 70 * 15,General,Nos,M S PLATE 340 * 70 * 15,76041031,NA,Finished,NATURAL,100,0,0,Non-Standard
M S PLATE 170*130*15,General,Nos,M S PLATE 170*130*15,76041031,NA,Finished,NATURAL,100,0,0,Non-Standard
M S PLATE 47.5*140*15,General,Nos,M S PLATE 47.5*140*15,76041031,NA,Finished,NATURAL,100,0,0,Non-Standard
M S PLATE 60*60*95,General,Nos,M S PLATE 60*60*95,76041031,NA,Finished,NATURAL,100,0,0,Non-Standard
M S PLATE 250*60*15,General,Nos,M S PLATE 250*60*15,76041031,NA,Finished,NATURAL,100,0,0,Non-Standard
U TYPE LUGE 6 SQMM COPPER,General,Nos,U TYPE LUGE 6 SQMM COPPER,76041031,NA,Finished,NATURAL,100,0,0,Non-Standard
STRAIGHT CONNECTOR PU 8*10MM,General,Nos,STRAIGHT CONNECTOR PU 8*10MM,76041031,NA,Finished,NATURAL,100,0,0,Non-Standard
HOSE CLIP 1/2 INCH-SS,General,Nos,HOSE CLIP 1/2 INCH-SS,76041031,NA,Finished,NATURAL,100,0,0,Non-Standard
ZEN STARWHITE  18 X 22 INCHES BESIN,General,Nos,ZEN STARWHITE  18 X 22 INCHES BESIN,76041031,NA,NA,NA,100,0,0,Non-Standard
SHOWER ARM,General,Nos,SHOWER ARM,76041031,NA,NA,NA,100,0,0,Non-Standard
BRACKET CHAIR,General,Nos,BRACKET CHAIR,76041031,NA,NA,NA,100,0,0,Non-Standard
CONCELED FLUSH TANK,General,Nos,CONCELED FLUSH TANK,76041031,NA,NA,NA,100,0,0,Non-Standard
MOUNT FRAME,General,Nos,MOUNT FRAME,76041031,NA,NA,NA,100,0,0,Non-Standard
FLUSH PLATE,General,Nos,FLUSH PLATE,76041031,NA,NA,NA,100,0,0,Non-Standard
