Item Code,Item Group,Default Unit of Measure,Item Name,HSN/SAC
MS C CHANNEL 150*75*5 MM,Consumable,Nos,MS C CHANNEL 150*75*5 MM,98059000
STRAIGHT PU CONNECTOR,Consumable,Nos,STRAIGHT PU CONNECTOR,98059000
M 5*6 MM FLOW CONTROL VALVE JANATICS,Consumable,Nos,M 5*6 MM FLOW CONTROL VALVE JANATICS,98059000
8*6 STRAIGHT CONNECTOR JANATICS,Consumable,Nos,8*6 STRAIGHT CONNECTOR JANATICS,98059000
PNEUMATIC PIPE,Consumable,Nos,PNEUMATIC PIPE,98059000
MS SHIM-5MM THICKNESS,Consumable,Nos,MS SHIM-5MM THICKNESS,98059000
TEFLON LINER SIZE 1.6 MM 3 MTR LONG (ESAB),Consumable,Nos,TEFLON LINER SIZE 1.6 MM 3 MTR LONG (ESAB),98059000
ALU WIRE SPOOL,Consumable,Nos,ALU WIRE SPOOL,98059000
STEP DRILL BIT 4 TO 20 MM,Consumable,Nos,STEP DRILL BIT 4 TO 20 MM,98059000
BLACK WELDING GLASS,Consumable,Nos,BLACK WELDING GLASS,98059000
LEATHER HAND GLOVES FOR WELDING,Consumable,Nos,LEATHER HAND GLOVES FOR WELDING,98059000
14 INCH CUTTING BLADE,Consumable,Nos,14 INCH CUTTING BLADE,98059000
CROMPING TOOL HYD,Consumable,Nos,CROMPING TOOL HYD,98059000
ALLEN KEY -17 MM,Consumable,Nos,ALLEN KEY -17 MM,98059000
ALLEN KEY -19 MM,Consumable,Nos,ALLEN KEY -19 MM,98059000
ERGO SHIELD NUT - FOR ARGON CYLINDER,Consumable,Nos,ERGO SHIELD NUT - FOR ARGON CYLINDER,98059000
405 AMP PSF TORCH REPAIR - CRIMPING,Consumable,Nos,405 AMP PSF TORCH REPAIR - CRIMPING,98059000
5 HP WINDTEL COMPRESSOR REPAIRING CHARGES WITH MATERIAL.,Consumable,Nos,5 HP WINDTEL COMPRESSOR REPAIRING CHARGES WITH MATERIAL.,98059000
FLYWHEEL,Consumable,Nos,FLYWHEEL,98059000
PISTON ASSEMBLY LP,Consumable,Nos,PISTON ASSEMBLY LP,98059000
PISTON RING LP 4 INCH,Consumable,Nos,PISTON RING LP 4 INCH,98059000
PU PIPE 8 MM -JANATICS,Consumable,Nos,PU PIPE 8 MM -JANATICS,98059000
PISTON RING HP 2.5 INCH,Consumable,Nos,PISTON RING HP 2.5 INCH,98059000
VALVE PLATE 100*70,Consumable,Nos,VALVE PLATE 100*70,98059000
OIL SEAL,Consumable,Nos,OIL SEAL,98059000
GASKET SET,Consumable,Nos,GASKET SET,98059000
NRV ASSLY,Consumable,Nos,NRV ASSLY,98059000
CRANK PIN LOCK BOLT,Consumable,Nos,CRANK PIN LOCK BOLT,98059000
AIR FILTER ELEMENT,Consumable,Nos,AIR FILTER ELEMENT,98059000
MAINTENANCE CHARGES,Consumable,Nos,MAINTENANCE CHARGES,98059000
ALLEN BOLT 12*120 MM WITH FLAT  WASHER,Consumable,Nos,ALLEN BOLT 12*120 MM WITH FLAT  WASHER,98059000
ALLEN BOLT 5*40 MM  FULL THREADED,Consumable,Nos,ALLEN BOLT 5*40 MM  FULL THREADED,98059000
HEX BOLT M 10*120 MM,Consumable,Nos,HEX BOLT M 10*120 MM,98059000
HEX NUT - M 10*120 MM,Consumable,Nos,HEX NUT - M 10*120 MM,98059000
ALLEN BOLT 5*50 MM WITH NUT AND FLAT WASHER,Consumable,Nos,ALLEN BOLT 5*50 MM WITH NUT AND FLAT WASHER,98059000
INDUSTRIAL HANGING HALOGEN LAMP-100W,Consumable,Nos,INDUSTRIAL HANGING HALOGEN LAMP-100W,98059000
M8 PROXIMITY SENSOR-PNP (NO) 2 MM SENSING RANGE -BAUMER MAKE,Consumable,Nos,M8 PROXIMITY SENSOR-PNP (NO) 2 MM SENSING RANGE -BAUMER MAKE,98059000
LED SENSOR,Consumable,Nos,LED SENSOR,98059000
AUTONICS MODULE 40 PORT,Consumable,Nos,AUTONICS MODULE 40 PORT,98059000
ENCODER CABLE,Consumable,Nos,ENCODER CABLE,98059000
TRANSPORTATION  CHARGES-,Consumable,Nos,TRANSPORTATION  CHARGES-,98059000
SINGLE CORE 1.5 SQ MM CABLE POLYCAB-RED COLOUR,Consumable,Nos,SINGLE CORE 1.5 SQ MM CABLE POLYCAB-RED COLOUR,98059000
STONE GRIT,Consumable,Nos,STONE GRIT,98059000
FORBES MAKE 1 LTR GACDFMANCV3120 INVERTER 3 STAR-SPLIT AC.,Consumable,Nos,FORBES MAKE 1 LTR GACDFMANCV3120 INVERTER 3 STAR-SPLIT AC.,98059000
ELGI -22 OIL FILTER,Consumable,Nos,ELGI -22 OIL FILTER,98059000
PLASMA ELCTRODE (30A-105A) HYPERTHERM,Consumable,Nos,PLASMA ELCTRODE (30A-105A) HYPERTHERM,98059000
WIRE ROPE-8 MM PLASTIC COATED,Consumable,Nos,WIRE ROPE-8 MM PLASTIC COATED,98059000
