Item Code,Item Group,Default Unit of Measure,Item Name,HSN/SAC,Alloy,Finish Type,Color Type,Valuation Rate,Disabled,Profile,Item Type Standard
MS SQ TUBE 40X40X1.2 THK,MS,Kg,MS SQ TUBE 40X40X1.2 THK,,NA,NA,NA,0,0,,Non-Standard
PPGI SHEET 13FT X 3.5 FT X 0.50 MM,MS,Kg,PPGI SHEET 13FT X 3.5 FT X 0.50 MM,,NA,NA,NA,0,0,,Non-Standard
PROP BOTTOM PLATE 80X100X5 MM THK,MS,Kg,PROP BOTTOM PLATE 80X100X5 MM THK,,NA,NA,NA,0,0,,Non-Standard
PPGI SHEET 10 FT X 3.5 FT X 0.50 MM,MS,Kg,PPGI SHEET 10 FT X 3.5 FT X 0.50 MM,,NA,NA,NA,0,0,,Non-Standard
PROP 2X1.5-2.5MM THK TP-95,MS,Kg,PROP 2X1.5-2.5MM THK TP-95,,NA,NA,NA,0,0,,Non-Standard
PUSH PULL JACK,MS,Kg,PUSH PULL JACK,,NA,NA,NA,0,0,,Non-Standard
PPGI SHEET,MS,Kg,PPGI SHEET,,NA,NA,NA,0,0,,Non-Standard
ROOF GUTTER,MS,Kg,ROOF GUTTER,,NA,NA,NA,0,0,,Non-Standard
STEEL HAMMER,MS,Kg,STEEL HAMMER,,NA,NA,NA,0,0,,Non-Standard
TP 80X80X5-TOP PLATE,MS,Kg,TP 80X80X5-TOP PLATE,,NA,Finished,NA,0,0,,Non-Standard
SQUARE TUBES 25X25X1.6 THK,MS,Kg,SQUARE TUBES 25X25X1.6 THK,,NA,NA,NA,0,0,,Non-Standard
MS PLATE 10 THK -2500X650X10-MM,MS,Kg,MS PLATE 10 THK -2500X650X10-MM,,NA,NA,NA,0,0,,Non-Standard
PROP 0.45 X 0.3,MS,Kg,PROP 0.45 X 0.3,,NA,NA,NA,0,0,,Non-Standard
MS PLATE 200X155X30 MM AS PER DRAWING,MS,Kg,MS PLATE 200X155X30 MM AS PER DRAWING,,NA,NA,NATURAL,0,0,,Non-Standard
MS PIPE 42.90 DIA - THK 2.65 - APOLLO MAKE,MS,Kg,MS PIPE 42.90 DIA - THK 2.65 - APOLLO MAKE,,NA,Finished,NATURAL,0,0,,Non-Standard
PUNCHING DIE/TOOL FOR TRIANGULAR PATTI SIZE- (185X130X130 MM),MS,Kg,PUNCHING DIE/TOOL FOR TRIANGULAR PATTI SIZE- (185X130X130 MM),,NA,NA,NATURAL,0,0,,Non-Standard
PUNCHING DIE/TOOL FOR TRIANGULAR PATTI SIZE - (130X130X130 MM),MS,Kg,PUNCHING DIE/TOOL FOR TRIANGULAR PATTI SIZE - (130X130X130 MM),,NA,NA,NATURAL,0,0,,Non-Standard
MS 130X130X130 MM- 2 MM THK (TRIANGULAR STRIP),MS,Kg,MS 130X130X130 MM- 2 MM THK (TRIANGULAR STRIP),,NA,NA,NATURAL,0,0,,Non-Standard
EB- MB DIE PLATE REWORK CHARGES,MS,Kg,EB- MB DIE PLATE REWORK CHARGES,,NA,NA,NATURAL,0,0,,Non-Standard
"MILLING, ROTORY & DRILLING CHARGES FOR STIFFNER - 2800X80X30 MM",MS,Kg,"MILLING, ROTORY & DRILLING CHARGES FOR STIFFNER - 2800X80X30 MM",,NA,NA,NATURAL,0,0,,Non-Standard
MS BLOCK 80X30X23 AS PER DRAWING,MS,Kg,MS BLOCK 80X30X23 AS PER DRAWING,,NA,NA,NATURAL,0,0,,Non-Standard
RAIL MOUNTING ASSEMBLY MACHINING CHARGES,MS,Kg,RAIL MOUNTING ASSEMBLY MACHINING CHARGES,,NA,NA,NATURAL,0,0,,Non-Standard
MS PLATE 220X150X16 MM- MACHINING CHARGES,MS,Kg,MS PLATE 220X150X16 MM- MACHINING CHARGES,,NA,NA,NATURAL,0,0,,Non-Standard
SQ.PIPE 100X100X4MM THK,MS,Kg,SQ.PIPE 100X100X4MM THK,,NA,NA,NATURAL,0,0,,Non-Standard
MS SHEET 1000X4000X0.6MM THK,MS,Kg,MS SHEET 1000X4000X0.6MM THK,,NA,NA,NATURAL,0,0,,Non-Standard
MS PLATE 500X50X16,MS,Kg,MS PLATE 500X50X16,,NA,NA,NATURAL,0,0,,Non-Standard
MS PLATE 180X150X10,MS,Kg,MS PLATE 180X150X10,,NA,NA,NATURAL,0,0,,Non-Standard
MS PLATE 600X100X16,MS,Kg,MS PLATE 600X100X16,,NA,NA,NATURAL,0,0,,Non-Standard
MS PLATE 290X75X16,MS,Kg,MS PLATE 290X75X16,,NA,NA,NATURAL,0,0,,Non-Standard
MS PLATE 220X150X16,MS,Kg,MS PLATE 220X150X16,,NA,NA,NATURAL,0,0,,Non-Standard
MS PLATE 300X300X10,MS,Kg,MS PLATE 300X300X10,,NA,NA,NATURAL,0,0,,Non-Standard
MS SQUARE PIPE 72X72X2 MM,MS,Kg,MS SQUARE PIPE 72X72X2 MM,,NA,NA,NATURAL,0,0,,Non-Standard
PRE COATED PLAIN SHEET 1250X4000X0.50 MM,MS,Kg,PRE COATED PLAIN SHEET 1250X4000X0.50 MM,,NA,NA,NATURAL,0,0,,Non-Standard
